structure,die_x,die_y,measurement_id,mode,snm_mv,snm_left_mv,snm_right_mv,limiting_lobe,status,individual_png
SP01,7,2,4,read,184.56460682445982,184.56460682445982,229.82016208886927,left,ok,
SP01,7,3,25,hold,539.3205886027481,539.3205886027481,541.9565814109459,left,ok,
SP01,7,3,25,read,221.68221909658646,221.68221909658646,222.13317700647826,left,ok,
SP01,7,4,36,hold,447.63321781482193,478.7932421380009,447.63321781482193,right,ok,
SP01,7,4,36,read,166.19406245362418,192.1258449016578,166.19406245362418,right,ok,
SP01,7,5,59,hold,457.74497119411313,497.59511721788107,457.74497119411313,right,ok,
SP01,7,5,59,read,181.5551679276257,219.9721828736286,181.5551679276257,right,ok,
SP01,7,6,68,hold,543.7350035687037,553.3939356811961,543.7350035687037,right,ok,
SP01,7,6,68,read,223.12033672024467,254.89046833066033,223.12033672024467,right,ok,
SP01,7,7,84,hold,440.30133167965795,440.30133167965795,504.39033531302226,left,ok,
SP01,7,7,84,read,119.50140271095714,119.50140271095714,240.59561807572769,left,ok,
SP01,8,2,5,hold,283.3992437628092,283.3992437628092,320.5108774922999,left,ok,
SP01,8,3,24,hold,316.1273463444772,316.1273463444772,371.04008885572676,left,ok,
SP01,8,3,24,read,245.37908922688268,280.85203470342213,245.37908922688268,right,ok,
SP01,8,4,37,hold,458.8849492089043,458.8849492089043,495.65427001158616,left,ok,
SP01,8,4,37,read,204.88818860274444,204.88818860274444,206.4209488321415,left,ok,
SP01,8,5,58,hold,480.4695317841708,480.4695317841708,481.0365647878644,left,ok,
SP01,8,5,58,read,197.33044551049986,197.33044551049986,201.10848447317554,left,ok,
SP01,8,6,69,hold,340.0962012264318,340.0962012264318,392.9888928602262,left,ok,
SP01,8,6,69,read,123.03609131060774,217.58251044140138,123.03609131060774,right,ok,
SP01,8,7,83,hold,452.51026861895144,487.7029855338692,452.51026861895144,right,ok,
SP01,8,7,83,read,186.67094638853857,211.58864552584782,186.67094638853857,right,ok,
SP01,9,2,6,hold,447.28309100524405,447.28309100524405,496.8864756621692,left,ok,
SP01,9,2,6,read,173.12006557812492,173.12006557812492,224.40157192536634,left,ok,
SP01,9,3,23,hold,509.5664606422934,519.7290715949928,509.5664606422934,right,ok,
SP01,9,3,23,read,193.1198116920987,193.1198116920987,207.3103270816493,left,ok,
SP01,9,4,38,hold,497.55834174458215,497.55834174458215,512.6065332696227,left,ok,
SP01,9,4,38,read,193.8457833236507,193.8457833236507,211.86287333862333,left,ok,
SP01,9,5,57,hold,474.8416879033703,500.03625784171436,474.8416879033703,right,ok,
SP01,9,5,57,read,176.38862098536475,224.7125948899157,176.38862098536475,right,ok,
SP01,9,6,70,hold,469.70820001690674,475.9324767093101,469.70820001690674,right,ok,
SP01,9,6,70,read,211.70739852237833,211.70739852237833,221.66384536515514,left,ok,
SP01,9,7,82,hold,536.7369342288349,536.7369342288349,561.6181217235219,left,ok,
SP01,9,7,82,read,176.7950504735226,238.1875114822126,176.7950504735226,right,ok,
